,verdict
16165,not the asshole
20983,not the asshole
40011,not the asshole
61256,not the asshole
41686,not the asshole
26519,not the asshole
64522,not the asshole
32476,not the asshole
68006,asshole
75861,asshole
9257,not the asshole
70500,not the asshole
41492,not the asshole
3082,asshole
54906,not the asshole
55731,not the asshole
69591,not the asshole
59370,asshole
25334,asshole
72834,not the asshole
37041,not the asshole
10391,asshole
571,not the asshole
81217,asshole
70302,not the asshole
58298,not the asshole
31464,not the asshole
45905,asshole
21892,not the asshole
42936,not the asshole
1458,not the asshole
20798,not the asshole
1391,not the asshole
28989,not the asshole
57854,asshole
29280,not the asshole
69561,not the asshole
45562,asshole
34592,not the asshole
13209,asshole
39822,not the asshole
96143,not the asshole
72542,not the asshole
79251,not the asshole
31748,asshole
65038,not the asshole
5250,not the asshole
53750,asshole
38095,not the asshole
80316,not the asshole
