,verdict
16401,not the asshole
37118,not the asshole
239,asshole
737,asshole
84919,not the asshole
1513,not the asshole
24337,not the asshole
52211,not the asshole
3784,not the asshole
31378,asshole
2398,not the asshole
33864,not the asshole
37853,asshole
39753,asshole
61990,not the asshole
59049,not the asshole
94390,asshole
20952,not the asshole
75832,not the asshole
63822,not the asshole
11187,asshole
4487,not the asshole
59703,not the asshole
58470,asshole
86201,asshole
32953,not the asshole
14910,not the asshole
42010,not the asshole
60431,not the asshole
15491,not the asshole
65259,asshole
19304,not the asshole
66053,not the asshole
39780,not the asshole
86196,not the asshole
64149,not the asshole
34004,not the asshole
5179,asshole
30982,not the asshole
51254,not the asshole
49677,not the asshole
3006,not the asshole
61588,not the asshole
55829,asshole
22199,not the asshole
47434,not the asshole
21166,not the asshole
95544,not the asshole
66832,asshole
49693,asshole
